1997,85,78564,41047,37517,17498,8564,8934,61066,32483,28583
1997,91,216737,109269,107468,60289,29467,30822,156448,79802,76646
1997,93,293584,148775,144809,116681,57568,59113,176903,91207,85696
1998,30,383658,191770,191888,231565,113563,118002,152093,78207,73886
1998,35,359588,178355,181233,206022,99106,106916,153566,79249,74317
1998,55,1196422,579384,617038,1086602,524601,562001,109820,54783,55037
1998,60,270954,134719,136235,158838,77748,81090,112116,56971,55145
1998,70,170129,84536,85593,108701,52776,55925,61428,31760,29668
1998,75,160705,80221,80484,94910,46487,48423,65795,33734,32061
1998,80,151294,76460,74834,55924,27135,28789,95370,49325,46045
1998,5,163400,82289,81111,76777,37449,39328,86623,44840,41783
1998,20,115935,59168,56767,31384,15098,16286,84551,44070,40481
1998,25,188462,93046,95416,105598,49930,55668,82864,43116,39748
1998,10,294333,149451,144882,62934,29536,33398,231399,119915,111484
1998,40,428095,215289,212806,154362,73437,80925,273733,141852,131881
1998,50,150744,75422,75322,48023,22122,25901,102721,53300,49421
1998,65,159603,78973,80630,85214,40089,45125,74389,38884,35505
1998,85,81408,42505,38903,18336,8936,9400,63072,33569,29503
1998,91,225335,113678,111657,63390,31004,32386,161945,82674,79271
1998,93,303037,153476,149561,121801,60219,61582,181236,93257,87979
1999,30,394327,197047,197280,239328,117543,121785,154999,79504,75495
1999,35,366563,181909,184654,211299,101783,109516,155264,80126,75138
1999,55,1229111,595570,633541,1116645,539890,576755,112466,55680,56786
1999,60,280065,139328,140737,164647,80680,83967,115418,58648,56770
1999,70,174723,86904,87819,111955,54455,57500,62768,32449,30319
1999,75,164221,82033,82188,97315,47768,49547,66906,34265,32641
1999,80,154683,78233,76450,58103,28226,29877,96580,50007,46573
1999,5,168104,84604,83500,79482,38825,40657,88622,45779,42843
1999,20,118056,60286,57770,32343,15590,16753,85713,44696,41017
1999,25,192696,95162,97534,108865,51553,57312,83831,43609,40222
1999,10,304600,154606,149994,67099,31490,35609,237501,123116,114385
1999,40,438985,220731,218254,163076,77647,85429,275909,143084,132825
1999,50,154318,77214,77104,50431,23226,27205,103887,53988,49899
1999,65,163699,80994,82705,88817,41844,46973,74882,39150,35732
1999,85,84353,44014,40339,19208,9320,9888,65145,34694,30451
1999,91,234268,118261,116007,66626,32609,34017,167642,85652,81990
1999,93,312787,158321,154466,127101,62968,64133,185686,95353,90333
2000,30,405283,202522,202761,247471,120218,127253,157812,82304,75508
2000,35,373665,185509,188156,216124,102967,113157,157541,82542,74999
2000,55,1262659,612104,650555,1165656,557450,608206,97003,54654,42349
2000,60,289475,144072,145403,172189,83440,88749,117286,60632,56654
2000,70,179438,89307,90131,114660,55171,59489,64778,34136,30642
2000,75,167811,83866,83945,101281,49188,52093,66530,34678,31852
2000,80,158144,80026,78118,56807,27292,29515,101337,52734,48603
2000,5,198531,99902,98629,93488,45170,48318,105043,54732,50311
2000,20,124975,63845,61130,34278,16347,17931,90697,47498,43199
2000,25,197021,97326,99695,112068,52494,59574,84953,44832,40121
2000,10,278503,141353,137150,58842,27294,31548,219661,114059,105602
2000,40,450141,226356,223785,159218,74960,84258,290923,151396,139527
2000,50,157973,79055,78918,49623,22584,27039,108350,56471,51879
